BUTU,Buffy Tuftedcheek
BVOR,Black-vented Oriole
BVSH,Black-vented Shearwater
BWHA,Broad-winged Hawk
BWOR,Bar-winged Oriole
BWPE,Black-winged Petrel
BWST,Black-winged Stilt
BWTE,Blue-winged Teal
BWVI,Black-whiskered Vireo
BWWA,Blue-winged Warbler
CAAU,Cassin's Auklet
CACG,Cackling Goose
CACG_SGP,Cackling Goose - Shortgrass Prairie population
CACG_TAV,Cackling Goose - Taverner's population
CACG_TGP,Cackling Goose - Tallgrass Prairie population
CACH,Carolina Chickadee
CACO,California Condor
CACR,Cactus Wren
CADO,Caribbean Dove
CAEG,Cattle Egret
CAEL,Caribbean Elaenia
CAEM,Canivet's Emerald
CAFI,Cassin's Finch
CAGN,California Gnatcatcher
CAGR,Carib Grackle
CAGU,California Gull
CAHE,Capped Heron
CAHU,Calliope Hummingbird
CAJA,Canada Jay
CAKI,Cassin's Kingbird
CALT,California Towhee
CAMA,Caribbean Martin
CANG,Canada Goose
CANG_AFR,Canada Goose - Atlantic Flyway Resident population
CANG_ATL,Canada Goose - Atlantic population
CANG_DUS,Canada Goose - Dusky population
CANG_EPR,Canada Goose - Eastern Prairie population
CANG_HIL,Canada Goose - Hi-Line population
CANG_LES,Canada Goose - Lesser population
CANG_MFG,Canada Goose - Mississippi Flyway Giant population
CANG_MVA,Canada Goose - Mississippi Valley population
CANG_NAT,Canada Goose - North Atlantic population
CANG_PAC,Canada Goose - Pacific population
CANG_RMT,Canada Goose - Rocky Mountain population
CANG_SGP,Canada Goose - Shortgrass Prairie population
CANG_SJB,Canada Goose - Southern James Bay population
CANG_VAN,Canada Goose - Vancouver population
CANG_WPR,Canada Goose - Western Prairie/Great Plains population
CANT,Canyon Towhee
CANV,Canvasback
CANW,Canyon Wren
CAPA,Carolina Parakeet
CAPO,Central American Pygmy-Owl
CAQU,California Quail
CARC,Caribbean Coot
CARW,Carolina Wren
CASP,Cassin's Sparrow
CASW,Cave Swallow
CATA,Carmiol's Tanager
CATE,Caspian Tern
CATH,California Thrasher
CATY,Cattle Tyrant
CAVI,Cassin's Vireo
CAWA,Canada Warbler
CBAN,Chestnut-backed Antbird
CBCC,Carolina/Black-capped Chickadee hybrid
CBCH,Chestnut-backed Chickadee
CBCU,Chestnut-bellied Cuckoo
CBFL,Cinnamon-bellied Flowerpiercer
CBSA,Chestnut-bellied Sandgrouse
CBTA,Crimson-backed Tanager
CBTH,Curve-billed Thrasher
CBWO,Crimson-bellied Woodpecker
CCBF,Chestnut-capped Brush-Finch
CCGR,Crimson-collared Grosbeak
CCLO,Chestnut-collared Longspur
CCOW,Chestnut-colored Woodpecker
CCRW,Crimson-crested Woodpecker
CCSP,Clay-colored Sparrow
CCSW,Chestnut-collared Swift
CCSW_UNI,Unidentified Cave/Cliff Swallow
CCTA,Crimson-collared Tanager
CCTH,Clay-colored Thrush
CCWA,Crescent-chested Warbler
CEDW,Cedar Waxwing
CERW,Cerulean Warbler
CFMA,Chestnut-fronted Macaw
CFPA,Crimson-fronted Parakeet
CGWO,Cuban Green Woodpecker
CHAS,Chapman's Swift
CHEG,Chinese Egret
CHEM,Coppery-headed Emerald
CHET,Cherrie's Tanager
CHHU,Charming Hummingbird
CHMU,Chestnut Munia
CHOR,Chestnut-headed Oropendola
CHOT,Choco Tapaculo
CHPH,Chinese Pond-Heron
CHQD,Chiriqui Quail-Dove
CHRA,Chihuahuan Raven
CHRE,Unidentified Common/Hoary Redpoll
CHSH,Christmas Shearwater
CHSP,Chipping Sparrow
CHSW,Chimney Swift
CHUK,Chukar
CIHU,Cinnamon Hummingbird
CIMB,Cinnamon Becard
CIRB,Cinereous Becard
CITE,Cinnamon Teal
CITR,Citreoline Trogon
CIWA,Citrine Wagtail
CIWO,Cinnamon Woodpecker
CLGR,Clark's Grebe
CLNU,Clark's Nutcracker
CLRA,Clapper Rail
CLSW,Cliff Swallow
CLWR,Clarion Wren
CMWA,Cape May Warbler
COAR,Collared Aracari
COBH,Common Black-Hawk
COBT,Common Bush-Tanager
COCA,Common Canary
COCC,Cocos Cuckoo
COCF,Cocos Flycatcher
COCH,Common Chaffinch
COCT,Cocoa Thrush
COCU,Common Cuckoo
CODU,Comb Duck
COEI,Common Eider
COEI_AME,Common Eider - American or Southern race
COEI_HUD,Common Eider - Hudson Bay race
COEI_NOR,Common Eider - Northern race
COEI_PAC,Common Eider - Pacific race
COEM,Cozumel Emerald
COFF,Collared Forest-Falcon
COFI,Cocos Finch
COFL,Cordilleran Flycatcher
COGA,Common Gallinule
COGD,Common Ground-Dove
COGO,Common Goldeneye
COGR,Common Grackle
COHA,Cooper's Hawk
COHE,Cocoi Heron
COHM,Common House-Martin
COHU,Costa's Hummingbird
COKI,Couch's Kingbird
COLC,Colombian Crake
COLO,Common Loon
COLR,Collared Redstart
COLW,Colima Warbler
COMC,Common Crane
COME,Common Merganser
COMG,Common Greenshank
COMR,Common Redshank
COMU,Common Murre
COMW,Common Waxbill
COMY,Common Myna
CONI,Common Nighthawk
CONW,Connecticut Warbler
COOP,Cook's Petrel
COPA,Common Pauraque
COPL,Collared Plover
COPO,Common Poorwill
COPR,Collared Pratincole
CORA,Common Raven
CORC,Corn Crake
CORE,Common Redpoll
CORO,Common Rosefinch
COSA,Common Sandpiper
COSH,Cory's Shearwater
COSN,Common Snipe
COSW,Common Swift
COTE,Common Tern
